Fri Feb 28 2025 12:11:06 GMT-0500 (Eastern Standard Time) - Run Time: 3217ms

Cross Tabulation Query Form - Trip - 2022

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest


Filters:
(Regional municipality of destination - region_dest In 1
and
2022 Trip purpose of destination - purp_dest2022 In 46
and
Primary travel mode of trip - mode_prime In W, )

Trip 2022
ROW : gta06_orig
COLUMN : gta06_dest
  gta06_orig  gta06_dest      total
         209         189         41
         209         201         67
         209         202         66
         209         204         48
         209         208         70
         209         209         14
         209         216         80
         209         217         13
         209         283         18
         210         177         29
         210         189          8
         210         191          6
         210         208          9
         210         209         48
         210         210        142
         210         211        152
         210         212         41
         210         213         21
         210         217         44
         211          21          8
         211          77         16
         211         195         44
         211         200        140
         211         204         36
         211         205          3
         211         209         26
         211         210        169
         211         211        583
         211         213         63
         211         215        106
         212         200         11
         212         209         53
         212         211         90
         212         212         11
         212         215        114
         213         196        172
         213         197          5
         213         200          8
         213         213          9
         214         196         44
         214         214         15
         215         200         89
         215         210         21
         215         212         84
         215         227         39
         216         204         15
         216         208         13
         216         209         38
         216         211         42
         216         212        102
         216         216        214
         216         217         51
         216         218         10
         216         220         24
         216         283         46
         216         284         10
         217         173          9
         217         200         21
         217         207         21
         217         208         35
         217         210          9
         217         216         49
         217         217         91
         217         218          5
         217         284         22
         218         218         13
         219         217         11
         219         225        106
         220         217         46
         220         220         25
         222         218          6
         222         222         68
         223         222         19
         223         223        315
         223         225        107
         223         243          9
         225         225         12
         225         485         12
         226         226         29
         226         237         14
         227         214         63
         227         227         34
         228         195         45
         228         228         16
         230         230        138
         234         239         15
         236         236         64
         237         225         15
         237         237        115
         238         225         24
         238         231         24
         238         238         15
         239         235         53
         239         239         12
         241         224         32
         241         238         30
         241         241        107
         241         242         34
         242         225        120
         242         236         31
         242         238         71
         243         223         10
         243         242         26
         243         243         57
         244         243          5
         244         245         19
         244         528         58
         245         244         15
         245         246         62
         245         506         62
         245         526         15
         245         528         37
         247         528         61
         248         260         10
         249         249         94
         249         250         25
         249         260        230
         250         120         69
         250         249         80
         250         250        355
         250         257          5
         250         258          4
         251           1          9
         251         250         12
         251         251         74
         251         252         44
         251         254          8
         251         275          7
         252           1         21
         252           2         10
         252         252         60
         252         253        282
         252         254         17
         252         256         60
         252         540         13
         253           1          9
         253           2         57
         253         252          3
         253         253        129
         253         254         70
         253         271         20
         253         539          4
         253         540         95
         253         541          3
         254           2          8
         254         253        108
         254         254        156
         254         255         11
         254         267          4
         255           1         59
         255           2          5
         255         253         96
         255         254        133
         255         255         39
         255         256         63
         255         265         64
         255         270         19
         256         252         63
         256         253          5
         256         256        115
         256         257         18
         256         265          7
         256         282         20
         257           1          9
         257           2         50
         257          70          5
         257         250         28
         257         254         35
         257         256         22
         257         257        138
         257         265         75
         257         266          8
         257         269         36
         257         270        159
         258         249          5
         258         251         22
         258         255          3
         258         258        158
         258         259          7
         258         264         40
         258         265          4
         258         276         12
         259         250          3
         259         258         41
         259         262         16
         259         263         17
         262         263         20
         263          36         18
         263         263         67
         263         264         14
         263         265         31
         263         276         29
         263         277         26
         263         279         10
         263         280         20
         264         258         75
         264         263         14
         264         264        148
         264         276          5
         265         258          3
         265         264          4
         265         265          5
         265         269         36
         265         277          3
         266           1         13
         266           3         17
         266           6         25
         266          55         29
         266         254         48
         266         257          7
         266         264          5
         266         265         51
         266         266        208
         266         270         72
         267           1          8
         267           4          4
