Fri Feb 28 2025 12:08:58 GMT-0500 (Eastern Standard Time) - Run Time: 3538ms

Cross Tabulation Query Form - Trip - 2022

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest


Filters:
(Regional municipality of destination - region_dest In 1
and
2022 Trip purpose of destination - purp_dest2022 In 46
and
Primary travel mode of trip - mode_prime In D, M, T, U, )

Trip 2022
ROW : gta06_orig
COLUMN : gta06_dest
  gta06_orig  gta06_dest      total
         125         119         13
         125         122          6
         125         123         18
         125         125         21
         125         130         11
         125         146          4
         125         187          6
         125         197         10
         125         286         18
         125         299          6
         125         300          5
         125         306          4
         125         314         12
         126         106         15
         126         118          6
         126         120         14
         126         127         11
         126         146          5
         126         149         10
         126         173          6
         126         254         17
         126         268         25
         126         287          5
         126         292         35
         126         300         12
         126         335          6
         127          40         14
         127          67          6
         127         120          4
         127         129         22
         127         286         15
         127         290         30
         127         299          3
         127         314          5
         127         357         11
         128           7         20
         128         145          8
         128         306         10
         128         313         15
         128         318         31
         128         364         69
         129          97         40
         129         105         18
         129         107          4
         129         146         27
         129         310          9
         129         315         21
         129         356         38
         129         369          6
         130          90          6
         130         113          5
         130         129         40
         130         142         16
         130         149          3
         130         290         17
         130         300         27
         130         313         50
         130         318         23
         130         335         17
         130         356         32
         131         146        178
         131         301          6
         132         122         26
         132         300         49
         132         343         30
         132         368          5
         133         145         13
         133         240        120
         133         305         13
         133         314          8
         134          63          5
         134         118          5
         134         133          6
         134         142         32
         134         290         39
         134         335          6
         134         373          5
         134         375          5
         135          85         20
         135         135         11
         135         149          5
         135         194         11
         135         315         11
         135         333          5
         135         391         25
         135         625         16
         137         153         33
         137         394          9
         137         410         14
         138         149         61
         139         149         50
         139         157         39
         139         283         65
         139         407        104
         142         101          5
         142         149         27
         143         149         51
         143         160          6
         143         290         47
         143         391         16
         144         145          5
         145         120         11
         145         149         35
         145         186         24
         145         286         12
         146          22         10
         146         125          8
         146         127         25
         146         546          8
         147          98          3
         147         127         87
         147         165          6
         147         469          3
         148          69          6
         148         149          9
         148         390          4
         149         113          4
         149         142          6
         149         146          6
         149         599          4
         150           1         21
         150          76          6
         150         102          4
         150         145          4
         150         175         27
         150         184          4
         150         318         26
         150         421         14
         151          67         18
         152         142         24
         152         151          9
         152         175         24
         152         210         43
         152         227         19
         152         270         74
         152         421         11
         154         129         16
         154         157         18
         154         393          6
         154         402         79
         155         155          9
         155         158         11
         155         416         35
         155         440         35
         157          15         12
         157         149         16
         157         153          6
         157         189         16
         158         106         49
         158         158         12
         158         179         17
         160           6          8
         160         169          6
         161         147         20
         161         180         24
         162          69          4
         162         146          4
         163         180          5
         164         106         33
         164         108          9
         164         146         30
         164         165         11
         164         170         67
         164         184         14
         164         194         14
         164         289         12
         164         324         10
         165          73          5
         165          97          3
         165         105         32
         165         120          3
         165         272          5
         166          20          4
         166          72          3
         166          85          9
         166         105          5
         166         164         66
         166         170          3
         167          46          4
         167          81         45
         167         103          3
         167         120          3
         167         158          9
         168          94         19
         168         125          4
         169          46          3
         169          48          4
         169          75          5
         169          89         15
         169         174         30
         169         203          4
         169         246         24
         169         268          3
         170          66          4
         170          72          5
         170          85         10
         170         105         23
         170         121          9
         170         165          3
         170         186          6
         170         350          3
         170         592          5
         171          94         18
         171         110         20
         171         120         27
         171         141         10
         171         164         45
         171         227         54
         172          72          5
         172         208         12
         172         218          6
         172         264         20
         172         421         15
         173          22         22
         173          26          7
         173          37          7
         173          67         11
         173          95         26
         173         165          4
         173         182         20
         173         208          5
         173         213         11
         173         216         14
         173         230         12
         173         392         23
         173         416          8
         173         423         14
         174          37          5
         174          70          6
         174         105         16
         174         157         15
         174         165          8
         174         170         25
         174         180          5
         174         257         15
         174         422          7
         175          18         10
         175          73          8
         175          94          9
         175         165         16
         175         174         17
         175         179         14
         176          73         13
         176         149         34
         176         176         17
         176         204        101
         177          59         41
         177         158          6
         177         159         19
         177         161          8
         177         176         11
         177         179         49
         177         191         19
         177         197          4
         177         209         18
         177         211         15
         177         253         46
         177         423         20
         178         158          8
         178         174         13
         178         179         13
         178         182         11
         178         214        144
         178         221          8
         178         236          8
         179          55         30
         179          74         44
         179         182         27
         179         200         74
         180          49         27
         180         157         10
         180         235          5
         180         344          6
         180         436          9
         181         438         38
         182         158         10
         182         179          5
         182         183         18
         182         191         35
         182         204          8
         182         414         22
         182         431          7
         182         440         27
         182         441         23
         182         456         20
         183          51         20
         183          53         52
         183          68         19
         183         157         22
         183         192          7
         183         195         22
         183         233         48
         183         394          7
         183         436          5
         183         440         58
         183         457         25
         184          73          7
         184         157         24
         184         183          9
         184         212         24
         184         436          9
         185          55         16
         185          90         14
         185         100         18
         185         165         11
         185         186          8
         185         189         11
         185         202         11
         185         394         13
         185         407        155
         186          71         18
         186          94         26
         186         135          5
         186         164         60
         186         203         16
         186         436         19
         187         113          5
         187         173         33
         187         179         33
         187         204          4
         187         217          4
         188          44         28
         188          65         19
         188          67         15
         188         147         19
         188         191         19
         188         200         17
         188         227         18
         188         235         15
         188         283        104
         189          44         10
         189          45         10
         189         173          8
         189         203         14
         189         205         11
         189         209         13
         189         226         76
         189         335         71
         190         112          9
         190         211         68
         190         269          5
         191         199         17
         191         218         54
         192          55          4
         192         196         34
         192         197         72
         192         218          7
         192         235         21
         192         436          7
         192         443          7
         193           9         13
         193          71          8
         193         158         15
         193         182         44
         193         194         65
         193         284         14
         193         320         17
         193         394         31
         193         408         12
         193         421         43
         193         504         19
         194          70         18
         194         182         22
         194         195         45
         194         217         11
         194         237         15
         194         436         29
         194         440         12
         194         443         19
         194         474         12
         194         561         11
         195          25         31
         195          45         45
         195          57         18
         195          59         98
         195         195         39
         195         218          6
         195         222        135
         195         226          6
         195         227        150
         195         235         14
         195         239         21
         195         271         19
         195         416         12
         195         421          8
         195         440         51
         196           2         11
         196           9          7
         196          19         20
         196          66         10
         196          70          8
         196         157         23
         196         173         89
         196         194         23
         196         195         65
         196         196         72
         196         200         50
         196         213         23
         196         217          7
         196         218         21
         196         226          9
         196         227         67
         196         229         22
         196         236         11
         196         237         13
         196         265         11
         196         421         33
         196         429         15
         196         452          9
         196         464         12
         196         470          4
         197         158          9
         197         216         19
         197         225          6
         197         227         46
         197         228         35
         197         250          6
         197         444         13
         198          55         36
         198         152         43
         198         210         35
         198         215         43
         198         250          9
         198         394          5
         199          92          8
         199         189         27
         199         195          9
         199         210         10
         199         216          5
         199         345          5
         199         402          8
         200           1         10
         200          34         36
         200          43          9
         200          51          5
         200         142         17
         200         189          4
         200         195        104
         200         200          5
         200         211          4
         200         218          7
         200         223          8
         200         227          9
         200         236          5
         200         283          5
         200         393         24
         200         394         25
         200         436          5
         200         443          6
         200         532         17
         200         603         17
         201          14          6
         201          44          7
         201          53         15
         201          71          5
         201         220         18
         201         225          4
         201         227          5
         201         284          9
         202          25          8
         202          43         13
         202          53         17
         202          71          7
         202          73          7
         202          85         16
         202         195          9
         202         200         24
         202         203         33
         202         214         16
         202         223         21
         202         226         14
         202         227         15
         202         231         13
         202         283         14
         202         324          6
         202         350         12
         202         394         18
         202         617         11
         203          33         17
         203          45         21
         203          81         30
         203         200         20
         203         205         19
         203         215         16
         203         221         19
         203         227         76
         203         284         16
