Fri Feb 28 2025 12:06:52 GMT-0500 (Eastern Standard Time) - Run Time: 3348ms

Cross Tabulation Query Form - Trip - 2022

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest


Filters:
(Regional municipality of destination - region_dest In 1
and
2022 Trip purpose of destination - purp_dest2022 In 46
and
Primary travel mode of trip - mode_prime In B, G, J, )

Trip 2022
ROW : gta06_orig
COLUMN : gta06_dest
  gta06_orig  gta06_dest      total
         271          38         21
         271          55         24
         271          59         14
         271          64         31
         271          66         49
         272          48          4
         272         258          3
         273          11         21
         273          58          3
         273          66          3
         273         211          8
         273         270          3
         273         481          4
         274          40         27
         274          68         94
         275         112         12
         275         269          4
         275         538         56
         276          42         22
         276          70         13
         276         210         13
         276         211          8
         277          42         12
         277          46         47
         277          59          3
         277          67         40
         277          71          4
         277         180          5
         277         197         19
         278          25         14
         278          52         88
         278          70          7
         278          72          4
         278          92         23
         278         113          3
         278         275         37
         279          53         11
         280          66         20
         280         271          9
         281           7         86
         281          51         33
         281          59          7
         281          70         16
         281          88          4
         281         280         45
         282          37         29
         282          46         70
         282          66         39
         282          72         29
         282          73         26
         282         225         12
         282         534         14
         285          54         26
         285          58          9
         285          63         69
         285          64         12
         285          98         26
         286          98         22
         287          63          4
         287          67        123
         287         168          4
         287         296          9
         288          58         17
         288         290         10
         288         313         18
         289          67         50
         290         300        137
         290         542         17
         293         285         43
         293         307         13
         294          26          4
         294         110         78
         295          58          4
         295          64          5
         295          93          4
         295          98          4
         298          85          6
         301         255          5
         301         302          7
         301         313         17
         304         120         10
         304         300         89
         305          38          5
         305          66         18
         306          37         46
         306          64         33
         306         314         14
         308          64          4
         308         104         16
         308         323          9
         312          51         15
         312          59         36
         312          66          6
         312          68         18
         312          89        133
         312         186          9
         312         295         70
         313          47         17
         313          48         56
         313         113         22
         313         120         61
         313         206         14
         313         289         25
         314          66         16
         314         278         59
         314         302          9
         315          47         13
         315          70          6
         315         204          7
         316          59         36
         316         419          7
         317          37         13
         317          65         33
         317          67         16
         317          72         18
         317          73         16
         317          81         27
         317         126          6
         317         313          8
         318          33         28
         318          66         14
         319          37         14
         319          49         29
         319          70         10
         322          38         21
         322          73          8
         323         125          8
         323         308          9
         325          46          9
         325         307         11
         326          66         43
         329          66         11
         331         347          5
         334          55         32
         334         125         16
         334         314          7
         336          59         53
         336         342         20
         337          64         86
         337         290         45
         340          59          4
         341         209         14
         342          85         24
         342         129         28
         342         536         25
         345          37          9
         345         335        117
         347         331          5
         348          69         15
         348         313          4
         349          59         30
         349          66          6
         349         251          9
         350          66         16
         350         157         22
         351          63         41
         360          40        111
         363         423          7
         365          34          7
         365         120        120
         370         373          8
         371         115         20
         375          43          9
         383          37         41
         383          58        145
         385          78         50
         389          68          7
         390         443         28
         391          43          7
         391          45         42
         391          68         29
         391          70         11
         391          73         18
         391          94         35
         395         407         11
         396          34         14
         396          50         30
         397          63          7
         397         436         10
         398         189         23
         399         110         17
         400          92         69
         400         180         52
         400         490          9
         404         133          4
         407          59          5
         407         342          7
         407         395         11
         408         391         42
         409          55         21
         409         405         39
         413          37         19
         414          37        169
         416          21         21
         416         402         73
         420         121         35
         423          59         93
         423         180         19
         423         436         18
         425          72         18
         426          52         11
         427         443         18
         428          59         21
